기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,기술점수,시장상태,레짐비중배수,date,market_regime,regime_weight_multiplier,sector_group
2026-04-27,삼성전자,005930,KS,반도체와반도체장비,223500.0,205102.5,190397.5,153519.58333333334,122622.0,1,62.76200243644768,1265.655080681101,0.7664278823816595,0,4.195804195804187,26.772546795235396,7732.577940801414,36464.0,36464.0,DART,TRAILING_DART,,7732.577940801414,28.903685382941795,92790.93528961697,-58.48280300240851,5.0,75.242743927425,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,반도체와반도체장비
2026-04-27,SK하이닉스,000660,KS,반도체와반도체장비,1295000.0,1059350.0,972983.3333333334,797775.0,608452.5,1,72.36718339763343,21115.795268614296,0.858943490290288,1,11.063464837049741,48.33906071019474,60260.64190203718,224066.0,224066.0,DART|DAILY_DISC,TRAILING_DART,,60260.64190203718,21.48998017819357,723127.7028244461,-44.16002294791922,5.0,86.23172354748581,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,반도체와반도체장비
2026-04-27,현대차,005380,KS,자동차,523000.0,501525.0,511975.0,416375.0,338307.5,1,53.22967259915662,3126.407494858464,0.8879870613980821,0,-0.7590132827324458,11.395101171459011,50619.69175811383,40715.0,40715.0,DART|DAILY_DISC,TRAILING_DART,,50619.69175811383,10.331947545219263,607436.301097366,16.14460824041415,50.493995356269195,62.317368101461454,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,자동차
2026-04-27,LG에너지솔루션,373220,KS,전기제품,465250.0,425612.5,402220.8333333333,410660.4166666667,394638.75,1,62.241998929149574,6266.754106498673,0.782944121700777,0,8.449883449883444,13.475609756097562,345.3119658119658,-416.0,-416.0,DART,TRAILING_DART,,345.3119658119658,1347.3324010247145,4143.74358974359,-99.10935118973808,5.0,77.16808750921726,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,전기제품
2026-04-27,SK스퀘어,402340,KS,복합기업,787000.0,612400.0,581516.6666666666,460779.1666666667,349788.0,1,74.5358235886712,17017.908914896427,0.8094906086325797,1,12.26818830242511,54.313725490196084,66829.3639178036,187971.0,187971.0,DART,TRAILING_DART,,66829.3639178036,11.776260521766543,801952.3670136431,1.8999195697132265,41.2349477203136,83.27609168413942,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,복합기업
2026-04-27,삼성바이오로직스,207940,KS,제약,1511000.0,1565850.0,1630083.3333333333,1707585.85,1672507.59375,0,40.28131815014504,-3788.938573254083,1.3846316691448877,0,-5.856697819314638,-1.2418300653594727,38546.45502083118,39968.0,39968.0,DART,TRAILING_DART,,38546.45502083118,39.19945424769747,462557.46024997416,-69.38732890470058,5.0,21.45023363972199,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,제약
2026-04-27,한화에어로스페이스,012450,KS,우주항공과국방,1456000.0,1447750.0,1352866.6666666667,1175916.6666666667,1081355.0,1,53.350494332424226,-8481.50702994848,0.45079960485392284,0,2.1754385964912304,11.314984709480115,42704.38030261037,46112.0,46112.0,DART,TRAILING_DART,,42704.38030261037,34.094863095601454,512452.56363132445,-64.80408216817827,5.0,66.3206355211961,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,우주항공과국방
2026-04-27,두산에너빌리티,034020,KS,기계,128700.0,105855.0,100855.0,91040.83333333333,81316.0,1,74.88632830800454,2816.795705285537,0.9180572402550908,1,15.945945945945939,36.62420382165605,320.2863634192387,512.0,512.0,DART,TRAILING_DART,,320.2863634192387,401.8279099554988,3843.436361030864,-97.01364696112597,5.0,83.4700199463548,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,기계
2026-04-27,기아,000270,KS,자동차,153000.0,153490.0,160930.0,143420.0,127827.5,1,46.18508868258687,570.8754687450601,1.0433179357738827,0,-2.7954256670902122,0.990099009900991,19349.186729689773,21385.0,21385.0,DART|DAILY_DISC,TRAILING_DART,,19349.186729689773,7.907309084222842,232190.2407562773,51.7583272916845,73.64291273959492,53.0480548478386,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,자동차
2026-04-27,KB금융,105560,KS,은행,157100.0,154590.0,152685.0,139765.0,129369.5,1,53.628034426677736,-11.634590395676241,0.6243922264112514,0,-2.3617153511497846,7.67649074708705,15665.033853854356,16924.0,16924.0,DART|DAILY_DISC,TRAILING_DART,,15665.033853854356,10.028704787085143,187980.40624625227,19.6565284826558,52.776743513726274,61.50395494655963,NEUTRAL,0.8,2026-04-27,NEUTRAL,0.8,은행
